item_id,name,template_description
2237,수염,얼굴에 착용하는 장비입니다.
2238,수염,얼굴에 착용하는 장비입니다.
2240,수염,얼굴에 착용하는 장비입니다.
2904,나크시,시스템 아이템입니다.
7330,성화주,시스템 아이템입니다.
7404,ke-60,시스템 아이템입니다.
11010,카탈로그,시스템 카탈로그입니다.
11061,명예의 증표 교환목록,교환 목록 아이템입니다.
13269,투척용 부스트500,투척용 아이템입니다.
13273,투척용 불끈불끈M,투척용 아이템입니다.
13274,투척용 활면수F,투척용 아이템입니다.
16632,맑은 태양 상자,각종 보상이 들어있는 상자입니다.
17395,,미확인 아이템입니다.
18515,투구,머리에 착용하는 장비입니다.
18516,투구,머리에 착용하는 장비입니다.
18517,투구,머리에 착용하는 장비입니다.
19500,가면,얼굴에 착용하는 장비입니다.
19501,투구,머리에 착용하는 장비입니다.
19502,투구,머리에 착용하는 장비입니다.
19503,모자,머리에 착용하는 장비입니다.
19504,안경,얼굴에 착용하는 장비입니다.
19505,액세서리,액세서리 장비입니다.
19506,머리띠,머리에 착용하는 장비입니다.
19508,투구,머리에 착용하는 장비입니다.
22013,모자,머리에 착용하는 장비입니다.
22593,,미확인 아이템입니다.
23921,이벤트보상박스,보상 아이템입니다.
100002,결제촉진 보상상자,각종 보상이 들어있는 상자입니다.
100582,테스트1,개발용 테스트 아이템입니다.
100584,테스트2,개발용 테스트 아이템입니다.
100591,타노스 웨폰 리폼큐브(하급),장비 리폼에 사용되는 아이템입니다.
100592,타노스 웨폰 리폼큐브(중급),장비 리폼에 사용되는 아이템입니다.
100648,정화 의식,정화 의식에 사용되는 아이템입니다.
100649,상급 정화 의식,정화 의식에 사용되는 아이템입니다.
100694,방어구 개조 상자(하급),장비 개조에 사용되는 상자입니다.
100695,방어구 개조 상자(중급),장비 개조에 사용되는 상자입니다.
100746,무기 개조 상자(하급),장비 개조에 사용되는 상자입니다.
100747,무기 개조 상자(중급),장비 개조에 사용되는 상자입니다.
100748,무기 개조 상자(상급),장비 개조에 사용되는 상자입니다.
100786,방어구 개조 상자(상급),장비 개조에 사용되는 상자입니다.
101060,테스트3,개발용 테스트 아이템입니다.
101062,테스트4,개발용 테스트 아이템입니다.
101217,설화의 방어구 강화(걸칠것),장비 강화에 사용되는 아이템입니다.
101219,설화의 방어구 강화(액세서리A),장비 강화에 사용되는 아이템입니다.
101220,설화의 방어구 강화(액세서리B),장비 강화에 사용되는 아이템입니다.
101243,쉐도우 체인져,변경에 사용되는 아이템입니다.
101355,OS무기 개조 상자,장비 개조에 사용되는 상자입니다.
101638,딤 글레이시아 무기 강화,장비 강화에 사용되는 아이템입니다.
101639,딤 글레이시아 추출기,추출에 사용되는 아이템입니다.
101745,차원의 봉인 해제,봉인된 아이템입니다.
101746,차원의 인챈트 상자,인챈트에 사용되는 아이템입니다.
101769,초원의 룬 업그레이드,장비 업그레이드에 사용되는 아이템입니다.
101770,죽음의 룬 업그레이드,장비 업그레이드에 사용되는 아이템입니다.
101771,화염의 룬 업그레이드,장비 업그레이드에 사용되는 아이템입니다.
101772,얼음의 룬 업그레이드,장비 업그레이드에 사용되는 아이템입니다.
101816,차원 강화기,장비 강화에 사용되는 아이템입니다.
101933,영혼의 룬 업그레이드,장비 업그레이드에 사용되는 아이템입니다.
101934,맹독의 룬 업그레이드,장비 업그레이드에 사용되는 아이템입니다.
101935,성전의 룬 업그레이드,장비 업그레이드에 사용되는 아이템입니다.
101936,영혼 마력 업그레이드,장비 업그레이드에 사용되는 아이템입니다.
101937,맹독 마력 업그레이드,장비 업그레이드에 사용되는 아이템입니다.
101938,성전 마력 업그레이드,장비 업그레이드에 사용되는 아이템입니다.
102373,심층 룬 방어구 각인,룬 시스템에 사용되는 아이템입니다.
102374,심층의 룬 방어구 각인 해제,룬 시스템에 사용되는 아이템입니다.
102440,룬 타블렛 판화,룬 시스템에 사용되는 아이템입니다.
102514,생명 순환의 진리 부여,효과 부여에 사용되는 아이템입니다.
102815,봉인된 카드 변환기,아이템 변환에 사용됩니다.
103635,+7제련망치 NPC용,NPC 전용 아이템입니다.
105031,ROS 골드 캡슐,캡슐 아이템입니다.
200487,,미확인 아이템입니다.
200491,,미확인 아이템입니다.
200541,,미확인 아이템입니다.
200542,,미확인 아이템입니다.
200550,,미확인 아이템입니다.
200551,,미확인 아이템입니다.
